id,external_id,first_name,last_name,phone,created_at
1,64a1b808-82df-11ee-b962-0242ac120002,Jorick,Vertelov,+37525487212,2023-11-12 22:07:24
2,64a1b808-82df-11ee-b962-0242ac120003,Anna,Smith,+37525876543,2023-11-12 22:07:25
3,64a1b808-82df-11ee-b962-0242ac120004,John,Doe,+37529123456,2023-11-12 22:07:26
4,64a1b808-82df-11ee-b962-0242ac120005,Lisa,Johnson,+37533678901,2023-11-12 22:07:27
5,64a1b808-82df-11ee-b962-0242ac120006,Alex,Miller,+37529789012,2023-11-12 22:07:28
6,64a1b808-82df-11ee-b962-0242ac120007,Olivia,Williams,+37544567890,2023-11-12 22:07:29
7,64a1b808-82df-11ee-b962-0242ac120008,Daniel,Moore,+37529123456,2023-11-12 22:07:30
8,64a1b808-82df-11ee-b962-0242ac120009,Emily,Wilson,+37533678901,2023-11-12 22:07:31
9,64a1b808-82df-11ee-b962-0242ac120010,Michael,Brown,+37529789012,2023-11-12 22:07:32
10,64a1b808-82df-11ee-b962-0242ac120011,Sophia,Jones,+37544567890,2023-11-12 22:07:33
